ID,Date,Policy Area,Name,For,Against,Abstentions,Result,GUE-NGL,S&D,Greens/EFA,REG,EPP,ECR,IDG,NI
2339,9/14/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Recital H,65,0,0,Adopted,For,For,For,For,Against,Against,For,For
2340,9/14/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Recital J/1,65,0,0,Adopted,For,For,For,For,For,Against,For,For
2341,9/14/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Recital J/2,65,0,0,Adopted,For,For,For,For,Against,Against,Abstain,For
2342,9/14/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Recital L/1,65,0,0,Adopted,For,For,For,For,For,Against,For,For
2343,9/14/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : Recital L/2,65,0,0,Adopted,For,For,For,For,Against,Against,For,For
2345,9/14/2020,Foreign & security policy,"EU-African security cooperation in the Sahel region, West Africa and the Horn of Africa - Motion for resolution : After paragraph 20,amendment 1",65,0,0,Adopted,For,For,For,For,For,Abstain,Abstain,For
2346,9/14/2020,Foreign & security policy,"EU-African security cooperation in the Sahel region, West Africa and the Horn of Africa - Motion for resolution : Paragraph 32,amendment 2",65,0,0,Adopted,Abstain,For,For,For,For,For,For,For
2347,9/14/2020,Foreign & security policy,"EU-African security cooperation in the Sahel region, West Africa and the Horn of Africa - Motion for resolution : Paragraph 46/1",65,0,0,Adopted,Abstain,For,For,For,For,For,For,For
2348,9/14/2020,Foreign & security policy,"EU-African security cooperation in the Sahel region, West Africa and the Horn of Africa - Motion for resolution : Paragraph 46/2",65,0,0,Adopted,For,For,For,For,For,For,For,For
2344,9/15/2020,Environment & public health,The EU’s role in protecting and restoring the world’s forests - Motion for resolution : vote: resolution (as a whole),68,0,0,Adopted,For,For,For,For,Against,Against,Against,For
2349,9/15/2020,Foreign & security policy,"EU-African security cooperation in the Sahel region, West Africa and the Horn of Africa - Motion for resolution : vote: resolution (as a whole)",2,61,5,Adopted,Against,For,Against,For,For,For,Abstain,Abstain
2350,9/15/2020,Environment & public health,Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism - Draft legislative resolution : Committee block,67,0,0,Adopted,For,For,For,For,For,For,Against,For
2351,9/15/2020,Environment & public health,"Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism - Draft legislative resolution : Art 7, paragraph 2,amendment 91",67,0,0,Rejected,Against,Against,For,Against,Against,For,For,Against
2352,9/15/2020,Environment & public health,"Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism - Draft legislative resolution : Art 12, paragraph 3, subparagraph 1,amendment 92",0,67,0,Rejected,Against,Against,Against,Against,Against,For,For,Against
2353,9/15/2020,Environment & public health,"Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism - Draft legislative resolution : Art 12, paragraph 3, subparagraph 1,amendment 53",67,0,0,Adopted,For,For,For,For,For,Abstain,Against,Against
2354,9/15/2020,Environment & public health,"Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism - Draft legislative resolution : Art 12, paragraph 3, subparagraph 2,amendment 93",0,67,0,Rejected,Against,Against,Against,Against,Against,For,For,Against
2355,9/15/2020,Environment & public health,"Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism - Draft legislative resolution : Art 12, paragraph 3, subparagraph 3,amendment 94",0,67,0,Rejected,Against,Against,Against,Against,Against,For,For,Against
2356,9/15/2020,Environment & public health,"Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism - Draft legislative resolution : Art 12, paragraph 3, subparagraph 3,amendment 54",66,1,0,Adopted,For,For,For,For,For,Against,For,Against
2357,9/15/2020,Environment & public health,"Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism - Draft legislative resolution : Recital 6,amendment 88",67,0,0,Adopted,For,For,For,For,For,For,For,For
2358,9/15/2020,Environment & public health,"Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism - Draft legislative resolution : After recital 6,amendment 89/1",24,43,0,Adopted,For,For,Against,For,For,For,For,For
2359,9/15/2020,Environment & public health,"Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism - Draft legislative resolution : After recital 6,amendment 89/2",66,1,0,Adopted,Against,Against,For,Against,For,For,For,Against
2360,9/15/2020,Environment & public health,"Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism - Draft legislative resolution : Recital 10,amendment 90",1,66,0,Rejected,Against,Against,Against,Against,Against,For,For,Against
2361,9/15/2020,Environment & public health,"Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism - Draft legislative resolution : Recital 10,amendment 17",67,0,0,Adopted,For,For,For,For,For,Against,Against,Against
2362,9/15/2020,Environment & public health,"Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism - Draft legislative resolution : Recital 11,amendment 20",67,0,0,Adopted,For,For,For,For,For,Against,Against,Against
2365,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Rejection,amendment 64",0,67,0,Rejected,For,For,For,For,For,For,Against,For
2366,9/15/2020,Environment & public health,Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Committee block,67,0,0,Adopted,For,For,Against,For,For,For,For,For
2367,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Committee - separate,amendment 34",67,0,0,Adopted,Against,Against,Against,Against,Against,Abstain,For,Against
2368,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Committee - separate,amendment 41",67,0,0,Adopted,For,For,For,For,For,For,Against,For
2369,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Committee - separate,amendment 48",67,0,0,Adopted,For,For,For,For,For,Against,Against,For
2370,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Committee - separate,amendment 49",67,0,0,Adopted,For,For,For,For,For,For,Against,For
2371,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Committee - separate,amendment 54",67,0,0,Adopted,For,For,For,For,For,Against,Against,For
2372,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Committee - separate,amendment 56",67,0,0,Adopted,For,For,For,For,For,For,Against,For
2373,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Art 2, paragraph 2,amendment 71",67,0,0,Rejected,For,For,For,For,For,For,Against,For
2374,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Art 6, paragraph 3, point c a,amendment 72",67,0,0,Adopted,For,For,For,For,For,For,Against,For
2375,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Art 9, paragraph 2, point b,amendment 81",0,67,0,Rejected,For,Against,For,Against,Against,Against,Against,For
2376,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Dir. 2003/87/EC,amendment 60",67,0,0,Adopted,For,For,For,For,Against,Against,Against,For
2377,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Art 21, paragraph 2, point d,amendment 74",67,0,0,Adopted,Against,Against,Against,Against,Against,For,For,Against
2378,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Art 21, paragraph 2, point f,amendment 75",3,64,0,Rejected,For,For,For,For,Against,Against,Against,For
2379,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Art 21, paragraph 2, point kb-kf,amendment 76",67,0,0,Adopted,For,For,For,For,Against,Against,Against,For
2380,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Art 21, paragraph 2, point kb-kf,amendment 77",67,0,0,Adopted,For,Against,Against,Against,Against,Against,Against,For
2381,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Art 21, paragraph 2, point kb-kf,amendment 78",67,0,0,Adopted,For,For,For,For,Against,Against,Against,For
2382,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Art 21, paragraph 2, point kb-kf,amendment 79",63,4,0,Adopted,For,For,For,For,Against,Against,Against,For
2383,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Art 21, paragraph 2, point kb-kf,amendment 80",67,0,0,Adopted,For,For,For,For,Against,Against,Against,For
2384,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Recital 2,amendment 65D",0,67,0,Rejected,For,For,For,For,Against,Against,For,For
2385,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Recital 2,amendment 3",67,0,0,Adopted,For,For,For,For,Against,Against,Against,For
2386,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Recital 3,amendment 66D",0,67,0,Rejected,Against,Against,Against,Against,Against,Against,For,Against
2387,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Recital 3,amendment 4",67,0,0,Adopted,For,For,For,For,For,Against,Against,For
2388,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Recital 4,amendment 67D",0,67,0,Rejected,Against,Against,Against,Against,Against,Against,For,Against
2389,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Recital 4,amendment 6",67,0,0,Adopted,For,For,For,For,For,Against,Against,For
2390,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Recital 5,amendment 68D",0,67,0,Rejected,Against,Against,Against,Against,Against,Against,For,Against
2391,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Recital 8,amendment 69",0,67,0,Rejected,For,For,For,For,For,Against,Against,For
2392,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : Recital 13,amendment 61",0,67,0,Rejected,Against,Against,Against,Against,Against,Against,For,Against
2393,9/15/2020,Environment & public health,"Global data collection system for ship fuel oil consumption data - Draft legislative resolution : After recital 14,amendment 70",1,5,61,Rejected,Against,Against,Against,Against,Against,Against,For,Against
2396,9/15/2020,Budget,Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Committee block,67,0,0,Adopted,Against,Against,Against,Against,Against,For,For,Against
2397,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Committee - separate,amendment 9",67,0,0,Adopted,For,Against,Abstain,Against,Against,Against,Against,For
2398,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Committee - separate,amendment 12",67,0,0,Adopted,For,For,For,For,For,Abstain,Against,For
2399,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Committee - separate,amendment 16",67,0,0,Adopted,For,For,For,For,For,For,Against,For
2400,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Committee - separate,amendment 20",67,0,0,Adopted,For,For,For,For,For,Against,Against,For
2401,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Committee - separate,amendment 21",67,0,0,Adopted,For,For,For,For,For,Against,Against,For
2402,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Committee - separate,amendment 22",67,0,0,Adopted,For,For,For,For,For,Against,Against,For
2403,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Committee - separate,amendment 23",67,0,0,Adopted,For,For,For,For,For,Against,Against,Abstain
2404,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Committee - separate,amendment 24",67,0,0,Adopted,For,For,For,For,For,Against,Against,For
2405,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Committee - separate,amendment 25",64,0,3,Adopted,For,For,For,For,For,Abstain,Against,For
2406,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Committee - separate,amendment 26",67,0,0,Adopted,For,For,For,For,For,Abstain,Against,For
2407,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Committee - separate,amendment 33",67,0,0,Adopted,For,For,For,For,For,Abstain,Against,For
2408,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Art 2, paragraph 1, subparagraph 1, point c,amendment 43D",0,67,0,Rejected,For,For,For,For,For,Abstain,Abstain,For
2409,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Art 2, paragraph 1, subparagraph 1, point c,amendment 19",67,0,0,Adopted,For,For,For,For,For,For,For,For
2410,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Art 2, paragraph 1, subparagraph 1, after point c,amendment 47",67,0,0,Rejected,For,For,For,For,For,Against,Against,For
2411,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Art 2, paragraph 1, subparagraph 1, after point c,amendment 48",61,5,1,Rejected,For,For,For,For,For,Against,Against,Abstain
2412,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Art 3, paragraph 1,amendment 44",0,67,0,Rejected,Against,Against,Against,Against,Against,Against,For,Against
2413,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Art 3, paragraph 1,amendment 27",64,0,3,Adopted,For,For,For,For,For,Against,Against,For
2414,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Art 3, paragraph 2,amendment 28D",64,0,3,Adopted,For,Against,For,Against,Against,Against,Against,For
2415,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Art 3b,amendment 49D",0,67,0,Rejected,For,Against,For,Against,Against,Against,Against,For
2416,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Art 3b,amendment 31",67,0,0,Adopted,Against,Against,Against,Against,Against,Against,For,Against
2417,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Art 5,amendment 32D",67,0,0,Adopted,For,For,For,For,For,Against,Against,Abstain
2418,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Recital 7,amendment 37D",0,67,0,Rejected,For,For,For,For,For,Against,For,Abstain
2419,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Recital 7,amendment 6",67,0,0,Adopted,Against,Against,Against,Against,Against,Against,For,Against
2420,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Recital 8,amendment 38D",0,67,0,Rejected,For,For,For,For,For,Against,Against,For
2421,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Recital 8,amendment 8",67,0,0,Adopted,For,Against,For,For,For,Against,For,Abstain
2422,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Recital 12,amendment 39",0,67,0,Rejected,Against,Against,Against,Against,Against,Against,For,Against
2423,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Recital 13,amendment 40",0,67,0,Rejected,For,For,For,For,For,Against,Against,For
2424,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Recital 13,amendment 15",64,0,3,Adopted,Against,Against,Against,Against,Against,Against,For,Against
2425,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Recital 16,amendment 41D",0,67,0,Rejected,For,For,For,For,For,Against,Against,For
2426,9/15/2020,Budget,"Draft Council decision on the system of own resources of the European Union - Draft legislative resolution : Recital 17,amendment 42D",0,67,0,Rejected,Against,Against,Against,Against,Against,Against,For,Against
2428,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 1/1,66,0,1,Adopted,Against,Against,Against,Against,Against,Against,For,Against
2429,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 1/2,66,0,1,Adopted,For,For,For,For,For,Against,Against,Abstain
2430,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 1/3,66,0,1,Adopted,Against,Against,Against,Against,Against,Against,For,Against
2431,9/15/2020,Foreign & security policy,"Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : After paragraph 1,amendment 2",1,66,0,Rejected,Against,Against,Against,Against,Against,Against,For,Against
2432,9/15/2020,Foreign & security policy,"Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 2,amendment 3",0,67,0,Rejected,For,For,For,For,For,Abstain,Against,For
2433,9/15/2020,Foreign & security policy,"Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 4,amendment 1",66,0,1,Rejected,For,For,For,For,For,For,For,For
2434,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 4/1,66,1,0,Adopted,Against,For,For,For,For,For,Against,For
2435,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 4/2,3,63,1,Adopted,Against,For,For,For,For,For,Abstain,For
2436,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 4/3,65,2,0,Adopted,For,Against,Against,Against,Against,Against,For,Against
2437,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 16/1,67,0,0,Adopted,For,Against,Against,Against,Against,Against,For,Against
2438,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 16/2,1,64,2,Adopted,For,For,For,Against,Against,Against,Against,Against
2439,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 17/1,66,1,0,Adopted,For,For,For,For,For,For,Abstain,For
2440,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 17/2,1,3,63,Adopted,Against,Against,Against,For,For,For,For,For
2441,9/15/2020,Foreign & security policy,"Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 18,amendment 5",66,1,0,Adopted,Against,For,For,For,For,For,For,For
2442,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 19/1,67,0,0,Adopted,No political line,For,For,For,For,For,For,For
2443,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 19/2,66,0,1,Adopted,Abstain,For,Against,For,For,For,Abstain,For
2444,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 20/1,67,0,0,Adopted,Against,For,For,For,For,For,Against,For
2445,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 20/2,67,0,0,Adopted,Against,For,Abstain,For,For,For,Abstain,For
2446,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 20/3,67,0,0,Adopted,Abstain,For,For,For,For,For,Abstain,For
2447,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 20/4,67,0,0,Adopted,For,For,For,For,For,For,Abstain,For
2448,9/15/2020,Foreign & security policy,Implementation of the EU Association Agreement with Georgia - Explanatory statement - summary of facts and findings : Paragraph 26,66,0,1,Adopted,For,For,For,For,For,Against,Abstain,For
2450,9/15/2020,Environment & public health,Type approval of motor vehicles (Real Driving Emissions) - Draft legislative resolution : Committee block,68,0,0,Adopted,For,For,For,For,For,For,Abstain,For
2451,9/15/2020,Environment & public health,"Type approval of motor vehicles (Real Driving Emissions) - Draft legislative resolution : Committee separate,amendment 11",68,0,0,Adopted,For,For,For,For,For,For,Against,For
2452,9/15/2020,Environment & public health,Type approval of motor vehicles (Real Driving Emissions) - Draft legislative resolution : Block A,67,1,0,Adopted,For,For,For,For,Against,Against,Against,For
2455,9/15/2020,Regional development,Establishing the Just Transition Fund - Draft legislative resolution : Committee block,68,0,0,Adopted,For,For,For,For,For,For,Abstain,For
2456,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Committee separate,amendment 13",0,68,0,Adopted,Against,For,For,For,For,For,Against,For
2457,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Committee separate,amendment 45/1",1,66,1,Adopted,Abstain,For,For,For,For,For,Abstain,For
2458,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Committee separate,amendment 45/2",68,0,0,Adopted,For,For,For,For,For,For,For,Against
2459,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Committee separate,amendment 45/3",68,0,0,Adopted,For,For,For,For,Against,Against,Against,For
2460,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Committee separate,amendment 45/4",68,0,0,Adopted,For,For,For,For,Against,Against,Against,Against
2461,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Committee separate,amendment 45/5",68,0,0,Adopted,For,For,For,For,For,Against,Against,Against
2462,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Committee separate,amendment 45/6",68,0,0,Adopted,For,For,For,For,For,For,Against,Against
2463,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Committee separate,amendment 45/7",0,67,1,Adopted,For,For,For,For,For,For,Against,For
2464,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Committee separate,amendment 45/8",68,0,0,Adopted,Against,For,Against,For,For,Against,Abstain,For
2465,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Committee separate,amendment 59",0,68,0,Adopted,Against,Against,Against,For,For,For,For,Against
2466,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Committee separate,amendment 61",68,0,0,Adopted,For,For,For,For,For,Against,Against,For
2467,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Paragraph 1,amendment 82",68,0,0,Rejected,For,For,For,For,For,Against,For,For
2468,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Paragraph 1,amendment 18",68,0,0,Adopted,For,For,For,For,For,Against,Against,For
2469,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Paragraph 2, subparagraph 1,amendment 69",64,0,4,Rejected,For,For,For,For,For,Against,Against,For
2470,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : Paragraph 2, subparagraph 1,amendment 20",68,0,0,Adopted,For,For,For,For,For,Against,Against,For
2471,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : After paragraph 3,amendment 70",65,3,0,Rejected,Against,Against,Against,For,For,For,Against,Against
2472,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : After paragraph 3,amendment 22",68,0,0,Adopted,For,For,For,For,For,Against,Against,For
2473,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : After art 3,amendment 66",68,0,0,Adopted,Against,For,Against,For,For,For,Against,Against
2474,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : subparagraph 1, point a,amendment 99",1,67,0,Rejected,For,For,For,For,For,Against,Against,For
2475,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : subparagraph 1, point a,amendment 24",67,1,0,Adopted,For,Against,For,Against,Against,Against,Against,For
2476,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : subparagraph 1, point d,amendment 83",67,0,1,Rejected,For,For,For,For,For,For,Abstain,For
2477,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : subparagraph 1, point d,amendment 28",1,67,0,Adopted,For,Against,For,Against,Against,Abstain,Abstain,For
2478,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : subpargraph 1, point d a,amendment 101",0,67,1,Rejected,For,For,For,For,For,For,Abstain,For
2479,9/15/2020,Regional development,"Establishing the Just Transition Fund - Draft legislative resolution : subpargraph 1, point d a,amendment 62",0,67,1,Rejected,For,Against,For,Against,Against,Against,Against,For
